site_id,rmse,nse,rmse_top10,rmse_bot10,rmse_logged,mean_bias,mean_bias_top10,mean_bias_bot10,nse_top10,nse_bot10,nse_logged,kge,variable,partition,nstates,rep_id,nepochs
01466500,1.025283,0.709841,1.721308,0.764858,0.269092,0.369037,-1.58265,0.692064,-5.886107,-18.943877,0.714856,0.771651,do_min,train,10,3,100
01472104,1.116204,0.742516,0.950424,2.247006,0.178706,0.175224,-0.529377,2.076747,-0.202184,-6.745927,0.605587,0.771196,do_min,train,10,3,100
01472119,1.237098,0.815664,1.200968,2.167489,0.216435,-0.010955,-0.977063,1.929809,-5.872019,-3.498123,0.693758,0.83504,do_min,train,10,3,100
014721254,0.346738,0.94999,0.296818,0.324935,0.048021,-0.067507,-0.236707,0.290266,0.911313,-6.112964,0.936954,0.96737,do_min,train,10,3,100
014721259,0.529019,0.803931,0.39676,0.954533,0.06282,-0.019308,-0.031355,0.32611,0.696016,-11.348174,0.760578,0.881413,do_min,train,10,3,100
01473499,1.175988,0.859228,1.044342,2.388146,0.227443,0.125069,-0.902666,2.25824,-2.91414,-10.469137,0.73133,0.819123,do_min,train,10,3,100
01473500,0.934415,0.837194,1.26064,1.584937,0.124916,0.116352,-0.910838,1.485348,-1.321271,-11.050913,0.777109,0.815789,do_min,train,10,3,100
01473675,1.129333,0.840642,1.233674,1.839162,0.176899,0.067307,-0.98979,1.71905,-3.851684,-8.622608,0.771062,0.860484,do_min,train,10,3,100
01473780,1.156085,0.836001,1.045696,1.978833,0.166664,0.15201,-0.868459,1.624993,-2.14517,-6.451114,0.774552,0.860869,do_min,train,10,3,100
01474500,1.233527,0.773148,0.899869,2.596061,0.234457,0.200142,-0.824285,2.244425,-5.32465,-3.974458,0.564068,0.81088,do_min,train,10,3,100
01480617,1.159851,0.636392,1.235086,2.64495,0.172773,0.046636,-0.947785,2.430365,-0.747286,-5.93636,0.505916,0.65683,do_min,train,10,3,100
01480870,1.204562,0.603005,1.133843,2.738517,0.196133,0.129355,-0.832848,2.457548,-1.968194,-5.126478,0.451258,0.653087,do_min,train,10,3,100
01481000,0.814957,0.796837,0.965466,1.47037,0.102962,0.049382,-0.674463,1.265751,-1.261625,-5.520919,0.750705,0.803337,do_min,train,10,3,100
01481500,0.638085,0.919533,1.163947,0.696592,0.061255,-0.188793,-1.072055,0.467895,-4.311462,-4.960804,0.919722,0.908537,do_min,train,10,3,100
01466500,1.032584,0.691167,1.585274,0.736656,0.243697,0.400312,-1.434508,0.66483,-4.882313,-11.481014,0.709106,0.799855,do_mean,train,10,3,100
01472104,1.183635,0.703155,1.505247,2.086438,0.144738,0.079742,-1.004739,1.933096,-1.80805,-6.980747,0.624646,0.728208,do_mean,train,10,3,100
01472119,1.152886,0.814056,1.327525,1.48129,0.136682,0.032013,-1.146404,1.349137,-6.369874,-4.520046,0.781318,0.863551,do_mean,train,10,3,100
014721254,0.364856,0.941404,0.271124,0.660403,0.048661,0.186302,-0.164112,0.637816,0.915875,-21.834154,0.920634,0.892519,do_mean,train,10,3,100
014721259,0.439349,0.861898,0.421832,0.904064,0.048246,0.113956,0.019877,0.601789,0.599049,-7.893717,0.839955,0.930304,do_mean,train,10,3,100
01473499,1.127758,0.863921,1.226,2.159854,0.172219,0.021602,-1.118522,2.059021,-6.423841,-10.737402,0.784865,0.814977,do_mean,train,10,3,100
01473500,1.018982,0.803382,2.07076,1.253728,0.106916,0.015984,-1.483923,1.163125,-3.718659,-12.327309,0.786535,0.788828,do_mean,train,10,3,100
01473675,1.046898,0.850934,1.376705,1.646556,0.13701,0.030655,-1.104653,1.582122,-3.531833,-11.662461,0.811604,0.852361,do_mean,train,10,3,100
01473780,1.036312,0.862215,0.93061,1.642995,0.138625,0.202114,-0.724279,1.533274,-2.076272,-5.832381,0.81205,0.865309,do_mean,train,10,3,100
01474500,1.101318,0.796848,0.816573,1.977021,0.139396,0.140171,-0.736209,1.835731,-4.34499,-7.954353,0.737909,0.824104,do_mean,train,10,3,100
01480617,0.943984,0.706494,1.232111,1.869592,0.104941,0.051209,-0.930659,1.704949,-1.098738,-7.476405,0.652715,0.719042,do_mean,train,10,3,100
01480870,1.003298,0.680126,0.970497,2.330092,0.130234,0.148799,-0.644658,2.016716,-1.532221,-3.923915,0.573035,0.719737,do_mean,train,10,3,100
01481000,0.769042,0.809157,0.995291,1.302716,0.08408,0.077765,-0.677675,1.168463,-1.615538,-7.720098,0.782034,0.805771,do_mean,train,10,3,100
01481500,0.535573,0.939052,0.967411,0.453444,0.047537,-0.041137,-0.872249,0.37604,-3.648914,-2.91715,0.942692,0.927572,do_mean,train,10,3,100
01466500,1.082118,0.622955,1.417472,0.958382,0.239776,0.392901,-1.223536,0.816096,-3.376425,-10.314021,0.628257,0.80472,do_max,train,10,3,100
01472104,1.801717,0.487882,3.581149,2.432114,0.174231,0.022104,-3.023948,2.289605,-6.594279,-10.766827,0.455603,0.514813,do_max,train,10,3,100
01472119,1.562207,0.706776,2.607895,1.687156,0.148936,-0.049047,-2.377875,1.517344,-9.614845,-5.7064,0.704668,0.747808,do_max,train,10,3,100
014721254,0.56049,0.860255,0.425544,0.953541,0.066517,0.340201,-0.234613,0.9204,0.711719,-23.166531,0.823224,0.819056,do_max,train,10,3,100
014721259,0.533351,0.805652,0.496324,1.039743,0.055612,0.251677,0.065573,0.782913,0.254569,-16.136409,0.776311,0.874206,do_max,train,10,3,100
01473499,1.42316,0.798283,2.224098,2.15364,0.169814,-0.20638,-2.004007,2.053527,-16.386738,-11.649182,0.756608,0.751591,do_max,train,10,3,100
01473500,1.444967,0.667298,3.390968,1.527486,0.127487,-0.032561,-2.510431,1.457335,-4.320716,-28.226062,0.680679,0.662644,do_max,train,10,3,100
01473675,1.183705,0.801416,2.203371,1.581665,0.130591,-0.074762,-1.738834,1.510187,-8.648964,-8.518735,0.784525,0.797454,do_max,train,10,3,100
01473780,1.120175,0.836256,1.075499,1.759351,0.137707,0.210037,-0.805128,1.665743,-3.684823,-9.145825,0.787691,0.837429,do_max,train,10,3,100
01474500,1.352187,0.67397,2.424299,1.948683,0.142656,-0.0536,-1.666736,1.832441,-15.967295,-10.114914,0.651514,0.725883,do_max,train,10,3,100
01480617,1.393557,0.501056,2.916986,1.890017,0.119835,0.041059,-2.386002,1.759436,-6.987457,-17.267371,0.498901,0.535058,do_max,train,10,3,100
01480870,1.338258,0.5298,2.302147,2.059459,0.12636,-0.004283,-1.835221,1.794524,-4.526033,-4.967851,0.496155,0.587116,do_max,train,10,3,100
01481000,1.031276,0.679581,1.537658,1.560694,0.099325,0.085495,-1.173086,1.401159,-3.196533,-9.635739,0.656843,0.710454,do_max,train,10,3,100
01481500,0.559341,0.925718,0.837393,0.489494,0.047405,0.08132,-0.695049,0.382897,-1.892838,-3.897342,0.929199,0.938291,do_max,train,10,3,100
01466500,,,,,,,,,,,,,do_min,val,10,3,100
01472104,0.744512,0.742956,0.93834,1.207914,0.10651,-0.063037,-0.601813,1.15476,-1.191038,-13.074461,0.700145,0.696955,do_min,val,10,3,100
01472119,,,,,,,,,,,,,do_min,val,10,3,100
014721254,,,,,,,,,,,,,do_min,val,10,3,100
014721259,,,,,,,,,,,,,do_min,val,10,3,100
01473499,,,,,,,,,,,,,do_min,val,10,3,100
01473500,0.811246,0.856782,0.697298,1.573929,0.113194,0.109901,-0.339,1.477323,-0.089296,-10.269235,0.800694,0.854522,do_min,val,10,3,100
01473675,,,,,,,,,,,,,do_min,val,10,3,100
01473780,,,,,,,,,,,,,do_min,val,10,3,100
01474500,,,,,,,,,,,,,do_min,val,10,3,100
01475530,1.356057,0.344147,0.937933,0.947138,0.185431,-0.199103,0.784129,-0.806707,-3.280518,-3.031685,0.110185,0.372617,do_min,val,10,3,100
01475548,2.877218,-0.372576,3.925518,1.534673,0.596347,-1.709984,-3.814383,1.276929,-57.442538,-4.057284,-1.9718,0.473798,do_min,val,10,3,100
01480617,0.770109,0.747304,0.933489,0.422159,0.087039,-0.551509,-0.802708,0.263524,-2.379101,-0.701363,0.72019,0.87482,do_min,val,10,3,100
01480870,0.666855,0.831717,0.815668,0.818786,0.081798,-0.327608,-0.711646,0.586045,-1.982501,-1.959761,0.805834,0.865304,do_min,val,10,3,100
01481000,0.599193,0.883966,0.850642,0.831091,0.069181,-0.15235,-0.669666,0.733043,-1.022757,-5.890993,0.871765,0.858938,do_min,val,10,3,100
01481500,0.569944,0.92775,0.938175,0.574758,0.056772,-0.236315,-0.819403,0.471584,-1.776565,-2.968842,0.924178,0.925677,do_min,val,10,3,100
01466500,,,,,,,,,,,,,do_mean,val,10,3,100
01472104,1.035945,0.603886,2.720271,0.829263,0.100792,-0.380417,-2.4417,0.731373,-3.831307,-5.18733,0.641322,0.572232,do_mean,val,10,3,100
01472119,,,,,,,,,,,,,do_mean,val,10,3,100
014721254,,,,,,,,,,,,,do_mean,val,10,3,100
014721259,,,,,,,,,,,,,do_mean,val,10,3,100
01473499,,,,,,,,,,,,,do_mean,val,10,3,100
01473500,0.775749,0.856252,1.085361,1.268831,0.088507,0.124461,-0.537146,1.1692,-0.934626,-12.100512,0.832135,0.867191,do_mean,val,10,3,100
01473675,,,,,,,,,,,,,do_mean,val,10,3,100
01473780,,,,,,,,,,,,,do_mean,val,10,3,100
01474500,,,,,,,,,,,,,do_mean,val,10,3,100
01475530,1.605864,0.069409,0.63218,1.623852,0.222033,-0.929464,0.168106,-1.599542,-0.18507,-65.224705,-0.699839,0.339674,do_mean,val,10,3,100
01475548,3.810408,-1.499508,5.753698,0.871684,0.650817,-2.776699,-5.579211,0.188091,-70.144506,-1.053777,-4.625761,0.282156,do_mean,val,10,3,100
01480617,0.503317,0.897162,0.671888,0.660853,0.05123,-0.16023,-0.538548,0.589647,-1.22794,-7.945473,0.889195,0.849753,do_mean,val,10,3,100
01480870,0.525797,0.897567,0.72344,0.783622,0.054857,-0.147083,-0.605247,0.659524,-1.360291,-4.922981,0.89113,0.850057,do_mean,val,10,3,100
01481000,0.584962,0.879699,0.854672,0.663209,0.059396,-0.15413,-0.68433,0.591044,-1.253643,-4.749025,0.87479,0.868364,do_mean,val,10,3,100
