model,rmse,TEmax,TEmaxt,MImax,TE0,TE1,TE2,TE3,TE4,TE5,TE6,TE7,TE8,MI0,MI1,MI2,MI3,MI4,MI5,MI6,MI7,MI8,corr0,corr1,corr2,corr3,corr4,corr5,corr6,corr7,corr8,MImaxt,replicate,sink,source,site
0_baseline_LSTM,NA,0.0996391047418988,0,0.1043670863875969,0.0996391047418988,0.0510466895036558,0.05351043547996,0.0492953285080271,0.045989308712956,0.0444668669907464,0.0440959987513355,0.046846678610455,0.0441930622008847,0.1043670863875969,0.0557746711493529,0.0373204261745887,0.0273172573205812,0.0211631012742259,0.0170522949795473,0.0177078013305305,0.0173758284169445,0.0175587841933747,-0.5398813047545538,-0.3667104652877451,-0.2688060728697777,-0.2116312561973583,-0.1747090302384799,-0.1461182437430792,-0.1471723358930746,-0.1498184693493118,-0.1350378168157686,0,0,do_min,tmmx,01466500
0_baseline_LSTM,NA,0.1011332254388031,0,0.1008062034625436,0.1011332254388031,0.0520664655897134,0.0507843160348089,0.0499860306672459,0.0451433678912875,0.0422177212890345,0.0443593360180589,0.0455713979510868,0.0462864519544563,0.1008062034625436,0.0517394436134556,0.033976092388408,0.0272013838716292,0.0209042174859123,0.0170272410008228,0.0174430894833286,0.0177452797289558,0.017117332714201,-0.5259887150051691,-0.3485102842021778,-0.254508077517578,-0.201338029864767,-0.1676335889477189,-0.1407134760935514,-0.1428189710406224,-0.1457530411438415,-0.1313856364005591,0,0,do_mean,tmmx,01466500
0_baseline_LSTM,NA,0.1049287945687203,0,0.1053278873974523,0.1049287945687203,0.0531291074636305,0.0488407884721534,0.0478191195428397,0.0420171069924899,0.0416607502106735,0.0453643245221689,0.0456888711994257,0.0440184712221594,0.1053278873974523,0.0535282002923621,0.0343457716675397,0.0256312207831533,0.0206137958760429,0.016365985723134,0.0167742757027427,0.0174596458416966,0.0162775618084009,-0.5325240189559395,-0.3501400061764217,-0.2509133905419621,-0.1949832631001625,-0.1601117482351789,-0.1331326741040773,-0.1353018988039067,-0.1386862368470456,-0.1252466239832405,0,0,do_max,tmmx,01466500
0_baseline_LSTM,0.9070797902908332,0.0723219263973458,1,0.1954418278218569,0.0385508025052865,0.0723219263973458,0.0691113874585572,0.0599874859509863,0.0517160656175685,0.0495742350740487,0.0456959037328675,0.0452675606797744,0.0533249811531333,0.1610573874859703,0.1954418278218569,0.1248701407683343,0.0661747784994906,0.038761606320015,0.0291622134967524,0.0231292785252814,0.0195818399519764,0.0191643508913657,-0.6372496258051951,-0.6942602635978747,-0.5633685592020382,-0.4001644229854548,-0.2811129067579532,-0.1978764088304469,-0.1482882453840022,-0.1222806888857986,-0.1010182125555178,1,0,do_min,tmmx,01472104
0_baseline_LSTM,1.033903524060031,0.0728422999353652,1,0.1870377314507308,0.035922381187243,0.0728422999353652,0.0706554038655929,0.0585703720607553,0.0556582076840744,0.0497370701690921,0.047461495495479,0.0475834514767957,0.0512996590051816,0.1494731089019501,0.1870377314507308,0.1235255573410447,0.065743379721026,0.0389927275418611,0.0291416714437887,0.0234111559520757,0.0195132749915926,0.0198773222642367,-0.6131099684351503,-0.6811479668721552,-0.5563453657354133,-0.3950413564053426,-0.2786674904849492,-0.1983369632608292,-0.1487001024351615,-0.1234381157899575,-0.1037452177797107,1,0,do_mean,tmmx,01472104
0_baseline_LSTM,1.9033974330491976,0.0883052750577628,1,0.178764604426995,0.0347286554846645,0.0883052750577628,0.0814617592215566,0.0618120649230629,0.0543013016710493,0.0522174610705819,0.0542213070598328,0.0517048729196068,0.0533308172507214,0.1242242243531283,0.178764604426995,0.121217467125504,0.0641859777776016,0.0380097607217138,0.0295121256724836,0.0220060789248081,0.0187684652239807,0.0178276011142958,-0.5683698651779231,-0.664005648538857,-0.5529746249678257,-0.3943686926322881,-0.2793279383531021,-0.1995104962139384,-0.1489223306508542,-0.1250390679382264,-0.1066032048223448,1,0,do_max,tmmx,01472104
0_baseline_LSTM,NA,0.0767109044613005,1,0.2134468972213822,0.0437445554097695,0.0767109044613005,0.0726917621546615,0.0568082601077613,0.051896906672240103,0.0506514286957214,0.0487481933529975,0.0477672506811022,0.0493023907430788,0.1799830355705296,0.2134468972213822,0.1295909079298907,0.0668121252680049,0.0384645415251539,0.027606296521169,0.0237120208114902,0.0194034984247625,0.017687618880975,-0.6698984754541809,-0.7165549715002633,-0.5728387363574557,-0.4004100876857675,-0.2761586065821557,-0.1954166008476795,-0.1485237652076191,-0.1224446661755316,-0.1021778215871979,1,0,do_min,tmmx,01472119
0_baseline_LSTM,NA,0.0769494419189356,1,0.2019688629397251,0.043091740568042,0.0769494419189356,0.0738143472091504,0.0550304302525613,0.0525089901103153,0.0532816221243269,0.049723418643847,0.0491541424786817,0.0505803392553907,0.1673251669694635,0.2019688629397251,0.1212708240438085,0.0619692547727016,0.0367848645261355,0.0290393335825914,0.0221168979394071,0.0190578180900661,0.0188592362905299,-0.6436208084520122,-0.7013508770121244,-0.5632732597671146,-0.3923493127644117,-0.2701972518004074,-0.1921974535482617,-0.1448237916623254,-0.1196315238544865,-0.1013870140929188,1,0,do_mean,tmmx,01472119
0_baseline_LSTM,NA,0.0859020307759415,1,0.1810064090382291,0.0349397740207485,0.0859020307759415,0.0757619310689709,0.0639182165018163,0.0578691527346632,0.0546739112621328,0.0519606372597411,0.0557518671547996,0.0550306158485657,0.1291135102180435,0.1810064090382291,0.1131729686338288,0.0608653452175725,0.0351688827308013,0.0268980587177159,0.0198837428802209,0.0191969555534325,0.0179154502944357,-0.5921816023661741,-0.6768662397835999,-0.5540071360411343,-0.3874891242181849,-0.2680070529092078,-0.1908762272727946,-0.1428076479365095,-0.1185764920316199,-0.1014446717911842,1,0,do_max,tmmx,01472119
0_baseline_LSTM,NA,0.0772613927789245,0,0.0966698539152666,0.0772613927789245,0.0258818894014328,0.0316680806780775,0.0342625949432095,0.0372609819953714,0.0402811977727851,0.043206323633256,0.0405192976075543,0.0422655209574194,0.0966698539152666,0.045290350537774,0.0425825153874912,0.0402662150777351,0.0365379937785901,0.0343920728210528,0.0348962459303557,0.0340027159665961,0.0334919207170328,0.1924999949189124,0.1181097242389083,0.1107513379980802,0.1102496005164422,0.1074222624740092,0.1020900646044759,0.1031403531789415,0.1031561738593959,0.0977915625627099,0,0,do_min,tmmx,01473499
