date,rmse,nse,rmse_top10,rmse_bot10,rmse_logged,mean_bias,mean_bias_top10,mean_bias_bot10,nse_top10,nse_bot10,nse_logged,kge,variable,partition,nstates,rep_id,nepochs,model_id
1,1.006755,0.119603,1.824659,0.70936,0.072329,-0.645292,-1.821872,0.556482,-377.815326,-2.319605,0.167826,0.3763,do_min,train,10,0,100,0_baseline_LSTM
2,0.66911,0.475376,1.35136,0.398967,0.049449,-0.258735,-1.306249,0.284973,-21.450013,-2.230326,0.495872,0.538715,do_min,train,10,0,100,0_baseline_LSTM
3,0.627154,0.692359,0.652309,1.01252,0.056275,0.05691,-0.388984,0.774483,-0.496957,-3.732319,0.689227,0.814731,do_min,train,10,0,100,0_baseline_LSTM
4,0.745494,0.527819,0.729109,1.462011,0.082837,0.195274,-0.173961,1.270391,-1.529728,-5.881598,0.491333,0.702314,do_min,train,10,0,100,0_baseline_LSTM
5,0.728519,0.3652,1.294867,0.857421,0.086689,-0.289187,-1.131995,0.644678,-20.634113,-2.705723,0.392231,0.55293,do_min,train,10,0,100,0_baseline_LSTM
6,0.611319,0.410546,1.115749,0.920925,0.081041,-0.214535,-1.044829,0.806242,-26.536495,-3.450187,0.424575,0.448404,do_min,train,10,0,100,0_baseline_LSTM
7,0.617516,0.369754,0.757645,1.420951,0.103059,0.127122,-0.695266,1.288202,-16.656997,-5.117379,0.294379,0.339098,do_min,train,10,0,100,0_baseline_LSTM
8,0.626611,0.345491,0.816384,1.371765,0.092182,0.087396,-0.759447,1.237746,-10.535289,-6.24896,0.317164,0.354077,do_min,train,10,0,100,0_baseline_LSTM
9,0.600358,0.564022,0.849683,1.120563,0.081421,-0.07735,-0.729917,0.988495,-10.274681,-3.883882,0.546069,0.533317,do_min,train,10,0,100,0_baseline_LSTM
10,0.66234,0.565946,0.839402,0.988866,0.075707,-0.168915,-0.607686,0.718698,-2.930929,-2.006798,0.551569,0.705892,do_min,train,10,0,100,0_baseline_LSTM
11,0.621152,0.655526,0.846052,0.647332,0.057067,-0.166976,-0.723483,0.451746,-3.516728,-1.139863,0.653972,0.768505,do_min,train,10,0,100,0_baseline_LSTM
12,0.650648,0.609229,1.064261,0.659913,0.05308,-0.324016,-1.006607,-0.031921,-12.385367,-1.344515,0.612286,0.771845,do_min,train,10,0,100,0_baseline_LSTM
1,0.814374,0.424086,1.325528,0.791473,0.05727,-0.405702,-1.320974,0.664052,-135.657488,-5.007464,0.454864,0.481848,do_mean,train,10,0,100,0_baseline_LSTM
2,0.710706,0.500414,1.406935,0.776516,0.050601,-0.144311,-1.39116,0.578457,-24.050887,-7.012442,0.513392,0.512529,do_mean,train,10,0,100,0_baseline_LSTM
3,0.573362,0.699893,0.904778,0.686138,0.045966,-0.01835,-0.556824,0.360273,-3.195754,-1.523209,0.709297,0.818208,do_mean,train,10,0,100,0_baseline_LSTM
4,0.745464,0.607242,1.360611,1.036109,0.068028,-0.16427,-1.055681,0.62523,-1.602917,-6.062855,0.599741,0.708893,do_mean,train,10,0,100,0_baseline_LSTM
5,0.609313,0.476072,1.076412,0.906195,0.06701,-0.149095,-0.94927,0.655091,-12.57321,-4.386234,0.482944,0.568395,do_mean,train,10,0,100,0_baseline_LSTM
6,0.547984,0.397109,1.120439,0.940061,0.064336,-0.038987,-0.887504,0.777122,-4.356594,-5.188245,0.412812,0.393612,do_mean,train,10,0,100,0_baseline_LSTM
7,0.512771,0.332054,0.972845,0.985226,0.064261,0.102769,-0.861908,0.864389,-7.542973,-4.36549,0.328901,0.347378,do_mean,train,10,0,100,0_baseline_LSTM
8,0.545403,0.266373,1.126519,0.91183,0.064956,0.031434,-0.954936,0.762304,-6.490195,-6.940569,0.292518,0.341635,do_mean,train,10,0,100,0_baseline_LSTM
9,0.581562,0.453696,1.207761,0.801085,0.065588,-0.135076,-1.0631,0.622663,-11.973788,-2.996347,0.474866,0.512345,do_mean,train,10,0,100,0_baseline_LSTM
10,0.558126,0.595984,0.795792,0.755558,0.05832,-0.135358,-0.589634,0.463533,-3.400682,-2.060469,0.586667,0.741546,do_mean,train,10,0,100,0_baseline_LSTM
11,0.569786,0.704479,0.876339,0.622489,0.048832,-0.123841,-0.756613,0.350071,-2.948888,-1.370993,0.710632,0.77958,do_mean,train,10,0,100,0_baseline_LSTM
