rmse,nse,rmse_top10,rmse_bot10,rmse_logged,mean_bias,mean_bias_top10,mean_bias_bot10,nse_top10,nse_bot10,nse_logged,kge,variable,partition,nstates,rep_id,nepochs,model_id
0.662537,0.893888,0.783223,0.989904,0.080064,-0.079116,-0.512787,0.811221,0.118186,-2.421446,0.863059,0.902786,do_min,train,10,0,100,0_baseline_LSTM
0.596208,0.903117,0.823163,0.788419,0.060956,-0.08417,-0.51693,0.642236,-0.133762,-2.381677,0.890385,0.908413,do_mean,train,10,0,100,0_baseline_LSTM
1.018422,0.74356,1.963187,1.244242,0.089562,-0.073009,-1.362123,1.139289,-2.951657,-7.223638,0.738592,0.762364,do_max,train,10,0,100,0_baseline_LSTM
2.0939,-0.023541,1.396417,2.364119,0.628308,-0.33563,-0.340736,0.443598,-2.033518,-11.315523,-6.327147,0.514123,do_min,val,10,0,100,0_baseline_LSTM
2.379243,-0.420948,1.819031,2.437138,0.714501,-0.44157,-0.596297,0.205764,-4.493003,-21.174943,-11.805197,0.38423,do_mean,val,10,0,100,0_baseline_LSTM
2.85505,-0.743072,4.16617,2.540869,0.698294,-0.525262,-2.276763,0.773494,-15.338513,-27.635199,-11.95556,0.321503,do_max,val,10,0,100,0_baseline_LSTM
2.188806,-0.174968,1.463838,2.517733,0.670919,-0.506602,-0.421589,-0.051732,-2.388445,-11.222374,-7.885782,0.455774,do_min,val_times,10,0,100,0_baseline_LSTM
2.502658,-0.667907,1.849767,2.739662,0.764502,-0.601988,-0.643867,-0.278809,-5.62132,-22.766507,-14.666824,0.304717,do_mean,val_times,10,0,100,0_baseline_LSTM
2.995282,-1.043164,4.329569,2.775415,0.746488,-0.693921,-2.374153,0.442509,-21.268209,-26.392518,-14.870372,0.242931,do_max,val_times,10,0,100,0_baseline_LSTM
0.670357,0.891369,0.68655,0.93159,0.081017,-0.083243,-0.268623,0.735244,0.322434,-2.03021,0.859776,0.93614,do_min,train,10,1,100,0_baseline_LSTM
