site_id,rmse,nse,rmse_top10,rmse_bot10,rmse_logged,mean_bias,mean_bias_top10,mean_bias_bot10,nse_top10,nse_bot10,nse_logged,kge,variable,partition,nstates,rep_id,nepochs,model_id
01466500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_min,train,10,0,100,0_baseline_LSTM
01472104,0.890227,0.71316,1.04362,1.740106,0.131879,0.120659,-0.341872,1.628985,-0.920823,-7.729666,0.611691,0.777568,do_min,train,10,0,100,0_baseline_LSTM
01472119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_min,train,10,0,100,0_baseline_LSTM
014721254,0.406549,0.93125,0.277482,0.773163,0.058617,0.138956,-0.159169,0.762778,0.922491,-39.27156,0.906064,0.89971,do_min,train,10,0,100,0_baseline_LSTM
014721259,0.627849,0.723829,0.680188,0.889623,0.069828,-0.056764,-0.330856,0.628358,0.106586,-9.725889,0.704183,0.852199,do_min,train,10,0,100,0_baseline_LSTM
01473499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_min,train,10,0,100,0_baseline_LSTM
01473675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_min,train,10,0,100,0_baseline_LSTM
01473780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_min,train,10,0,100,0_baseline_LSTM
01474500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_min,train,10,0,100,0_baseline_LSTM
01480617,0.681306,0.858716,0.908947,0.84841,0.074919,-0.113786,-0.642052,0.700489,-0.001103,-2.622272,0.838206,0.910697,do_min,train,10,0,100,0_baseline_LSTM
01480870,0.655619,0.836931,0.621426,0.956264,0.078676,-0.066783,-0.416022,0.850217,0.045033,-6.731171,0.807703,0.864299,do_min,train,10,0,100,0_baseline_LSTM
01481000,0.585893,0.892001,0.656196,0.838507,0.06846,-0.119635,-0.435327,0.747042,-0.444049,-5.138899,0.87422,0.899114,do_min,train,10,0,100,0_baseline_LSTM
01481500,0.584706,0.932578,1.094929,0.592821,0.056417,-0.152924,-1.002276,0.390207,-3.19122,-3.163212,0.932256,0.935564,do_min,train,10,0,100,0_baseline_LSTM
01466500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_mean,train,10,0,100,0_baseline_LSTM
01472104,0.933282,0.707419,1.361404,1.225471,0.102467,-0.097536,-0.777912,1.14719,-0.661027,-9.552186,0.669629,0.755614,do_mean,train,10,0,100,0_baseline_LSTM
01472119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_mean,train,10,0,100,0_baseline_LSTM
014721254,0.432611,0.917621,0.60078,0.48538,0.052156,-0.18035,-0.561317,0.458409,0.586935,-11.334776,0.908823,0.849303,do_mean,train,10,0,100,0_baseline_LSTM
014721259,0.571495,0.766329,0.836543,0.777459,0.059932,-0.085486,-0.65253,0.652585,-0.576838,-5.577168,0.753033,0.77108,do_mean,train,10,0,100,0_baseline_LSTM
01473499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_mean,train,10,0,100,0_baseline_LSTM
01473675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_mean,train,10,0,100,0_baseline_LSTM
01473780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_mean,train,10,0,100,0_baseline_LSTM
01474500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_mean,train,10,0,100,0_baseline_LSTM
01480617,0.551201,0.909524,0.86209,0.637204,0.052441,-0.104666,-0.660748,0.570023,0.06108,-5.637108,0.904615,0.904943,do_mean,train,10,0,100,0_baseline_LSTM
01480870,0.521615,0.889092,0.644672,0.747102,0.054181,-0.066815,-0.437666,0.683465,-0.501971,-8.591455,0.875562,0.880541,do_mean,train,10,0,100,0_baseline_LSTM
01481000,0.572001,0.886384,0.805454,0.778895,0.058543,-0.084254,-0.426538,0.701588,-0.746351,-5.626677,0.876879,0.896996,do_mean,train,10,0,100,0_baseline_LSTM
01481500,0.478127,0.951402,0.838196,0.490678,0.042929,-0.067073,-0.711833,0.443859,-2.108464,-4.198794,0.953373,0.943716,do_mean,train,10,0,100,0_baseline_LSTM
01466500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_max,train,10,0,100,0_baseline_LSTM
01472104,1.793863,0.426311,3.805596,1.950601,0.159076,-0.127693,-3.377622,1.907004,-5.966152,-25.06562,0.414707,0.444859,do_max,train,10,0,100,0_baseline_LSTM
01472119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_max,train,10,0,100,0_baseline_LSTM
014721254,0.667489,0.801807,0.315824,1.267617,0.080391,0.39921,-0.183818,1.246239,0.841212,-41.708219,0.741787,0.742064,do_max,train,10,0,100,0_baseline_LSTM
